filename,processing_time
DOC-001.pdf,13.616038199979812
DOC-002.pdf,48.02541930018924
DOC-003.pdf,48.416794599965215
DOC-004.pdf,54.73554789996706
DOC-005.pdf,48.79493219987489
DOC-006.pdf,45.87269160011783
DOC-007.pdf,62.77055109990761
DOC-008.pdf,50.66369920014404
DOC-009.pdf,53.100270400056615
DOC-010.pdf,56.00357629987411
DOC-011.pdf,59.94384600012563
DOC-012.pdf,53.573076199973
DOC-013.pdf,52.1357708000578
DOC-014.pdf,51.83953490015119
DOC-015.pdf,52.02726379991509
DOC-016.pdf,46.22816750011407
DOC-017.pdf,49.15631250012666
DOC-018.pdf,45.68438289989717
DOC-019.pdf,49.43825210002251
DOC-020.pdf,55.22112059989013
DOC-021.pdf,58.76421739999205
DOC-022.pdf,54.40259040007368
DOC-023.pdf,46.025988300098106
DOC-024.pdf,52.46802440006286
DOC-025.pdf,48.76309100002982
DOC-026.pdf,52.38108430011198
DOC-027.pdf,46.54986159992404
DOC-028.pdf,49.700158999999985
DOC-029.pdf,52.65627390006557
DOC-030.pdf,51.73996269982308
DOC-031.pdf,58.969563300022855
DOC-032.pdf,51.712244500173256
DOC-033.pdf,51.75946719991043
DOC-034.pdf,48.89019370009191
DOC-035.pdf,48.932570500066504
DOC-036.pdf,52.41681299987249
DOC-037.pdf,58.15811269986443
DOC-038.pdf,51.1768222998362
DOC-039.pdf,55.247141800122336
DOC-040.pdf,46.32474479987286
DOC-041.pdf,46.02984440000728
DOC-042.pdf,55.09222019999288
DOC-043.pdf,51.800258700037375
DOC-044.pdf,51.63937099999748
DOC-045.pdf,46.26552949985489
DOC-046.pdf,51.6218403999228
DOC-047.pdf,57.29656620020978
DOC-048.pdf,54.56454610009678
DOC-049.pdf,45.642916600219905
DOC-050.pdf,48.17076679994352
DOC-051.pdf,45.56651610019617
DOC-052.pdf,45.57524859998375
DOC-053.pdf,54.012381500098854
DOC-054.pdf,54.47116720001213
DOC-055.pdf,45.84037069999613
DOC-056.pdf,51.43091620015912
DOC-057.pdf,54.200215599965304
DOC-058.pdf,48.4242861000821
DOC-059.pdf,51.79338810010813
DOC-060.pdf,54.32025929982774
